After running magCalSliders.py

bias = [280, -5, -120]
scale = [1.0, 1.0, 1.0]

MPU set up:
	Accelerometer: 0x0 16384.0
	Gyroscope: 0x0 131.0

MAG set up:
	Magnetometer: 0x16 1.499

Magnetometer calibration. Wave and rotate device in a figure eight until notified.

86,-92,-132
88,-114,-120
95,-95,-125
86,-100,-126
79,-95,-129
86,-100,-128
89,-117,-127
92,-104,-126
84,-104,-118
89,-109,-133
76,-98,-116
89,-99,-131
93,-113,-129
97,-105,-121
89,-101,-115
87,-101,-131
81,-101,-129
93,-103,-117
91,-101,-127
92,-98,-122
87,-97,-125
93,-95,-125
92,-104,-124
86,-106,-122
84,-112,-126
85,-103,-119
93,-95,-119
91,-97,-123
85,-99,-119
86,-98,-114
92,-114,-124
92,-109,-125
93,-109,-125
86,-102,-116
94,-112,-124
96,-110,-128
86,-102,-120
82,-104,-122
95,-99,-125
93,-105,-119
86,-108,-128
82,-104,-128
87,-101,-129
80,-102,-126
94,-108,-124
88,-118,-136
82,-103,-131
91,-101,-123
77,-101,-131
93,-101,-125
92,-104,-124
90,-96,-128
93,-97,-123
85,-103,-119
89,-97,-123
90,-104,-128
87,-105,-121
93,-105,-123
86,-110,-118
85,-99,-123
83,-99,-129
92,-108,-132
91,-97,-129
92,-100,-132
93,-101,-131
89,-99,-125
88,-101,-119
84,-110,-120
90,-108,-122
89,-107,-125
85,-107,-123
82,-100,-118
89,-103,-121
91,-97,-123
90,-98,-120
86,-96,-124
85,-109,-117
84,-102,-130
91,-97,-117
87,-105,-129
84,-98,-118
91,-95,-121
88,-106,-121
84,-102,-128
96,-90,-130
90,-100,-124
86,-102,-128
83,-101,-131
92,-102,-132
89,-99,-119
88,-100,-122
90,-103,-123
87,-101,-120
84,-106,-118
91,-107,-125
94,-104,-122
88,-106,-126
92,-104,-114
86,-104,-128
84,-104,-120
89,-105,-123
89,-103,-115
88,-102,-120
88,-104,-124
88,-100,-122
95,-111,-119
82,-96,-124
81,-101,-125
88,-100,-118
86,-104,-116
89,-103,-117
89,-109,-115
89,-109,-119
97,-107,-127
89,-111,-113
98,-108,-114
94,-106,-110
96,-112,-120
91,-121,-105
98,-112,-112
91,-127,-109
105,-121,-109
100,-124,-100
114,-138,-96
128,-152,-94
150,-164,-94
165,-181,-91
185,-201,-95
212,-206,-90
244,-216,-86
257,-219,-73
282,-218,-74
275,-227,-73
283,-223,-87
290,-220,-72
271,-219,-79
254,-216,-84
248,-212,-92
215,-219,-87
185,-207,-89
152,-178,-98
131,-163,-95
100,-132,-102
90,-110,-92
65,-79,-103
56,-54,-106
53,-39,-111
54,-16,-108
51,9,-107
54,22,-110
61,41,-113
54,68,-110
75,77,-115
63,85,-105
74,102,-112
79,121,-113
99,135,-103
102,134,-106
100,136,-100
107,143,-95
105,153,-97
109,155,-79
114,153,-77
114,154,-84
118,146,-76
102,136,-80
94,114,-86
93,76,-106
73,61,-115
71,13,-129
70,-16,-138
70,-44,-148
83,-57,-147
81,-79,-145
88,-100,-148
110,-130,-140
140,-150,-140
150,-168,-124
175,-191,-121
199,-201,-117
225,-211,-109
242,-228,-108
265,-229,-109
286,-216,-104
306,-222,-118
315,-215,-105
307,-227,-111
324,-218,-110
319,-223,-115
312,-214,-110
314,-220,-114
289,-223,-115
292,-226,-120
255,-231,-109
246,-226,-112
221,-209,-113
164,-188,-118
163,-174,-110
132,-176,-113
115,-159,-113
100,-140,-118
86,-106,-108
82,-93,-109
70,-84,-112
63,-55,-109
51,-37,-95
60,-22,-112
53,3,-99
47,23,-101
51,31,-95
57,35,-107
52,50,-98
64,62,-110
69,65,-93
66,86,-96
70,86,-92
72,100,-82
89,115,-83
92,126,-86
100,136,-80
114,154,-84
115,145,-89
117,165,-87
124,158,-82
125,163,-85
123,155,-87
96,144,-92
96,107,-95
87,107,-92
81,45,-101
75,25,-109
64,-14,-100
70,-68,-124
84,-72,-121
99,-99,-127
118,-132,-124
132,-164,-118
160,-180,-126
189,-195,-115
219,-211,-111
234,-212,-104
255,-217,-109
281,-223,-107
308,-218,-102
331,-217,-99
364,-210,-92
379,-195,-91
401,-181,-93
413,-173,-89
426,-164,-88
436,-166,-92
445,-157,-95
437,-161,-95
437,-161,-97
437,-159,-101
437,-165,-113
438,-162,-108
425,-167,-115
415,-183,-125
358,-206,-122
321,-223,-127
284,-228,-128
248,-222,-132
247,-211,-137
210,-218,-140
182,-198,-148
152,-182,-140
128,-162,-144
112,-152,-144
95,-119,-147
80,-96,-135
65,-77,-143
60,-44,-132
69,-16,-132
53,1,-119
54,36,-122
62,34,-110
63,77,-99
75,103,-95
80,122,-98
107,145,-99
135,175,-95
162,188,-102
183,205,-99
206,214,-108
225,219,-101
256,224,-108
268,234,-114
282,232,-114
304,222,-122
323,217,-107
330,222,-110
350,212,-118
363,209,-125
370,204,-124
371,205,-119
352,216,-118
295,229,-131
253,225,-139
219,215,-137
184,194,-144
162,184,-144
162,184,-149
133,153,-143
121,143,-147
97,115,-145
76,84,-136
78,72,-138
73,25,-135
68,-32,-138
83,-87,-127
115,-127,-119
145,-163,-123
167,-191,-113
206,-206,-114
237,-219,-117
269,-211,-113
314,-222,-110
347,-213,-99
393,-187,-105
415,-175,-103
438,-150,-102
457,-129,-113
465,-119,-125
476,-106,-120
482,-110,-124
482,-102,-124
476,-110,-126
465,-127,-125
453,-137,-133
428,-160,-136
414,-194,-146
394,-200,-158
342,-208,-150
298,-222,-156
276,-218,-162
244,-222,-158
244,-220,-162
184,-200,-160
157,-191,-161
126,-160,-154
95,-117,-159
77,-85,-155
70,-58,-158
56,-12,-144
54,22,-132
56,52,-126
59,94,-124
64,98,-114
82,118,-114
119,163,-99
147,185,-109
159,201,-97
170,202,-106
200,214,-96
233,231,-97
247,229,-99
281,234,-104
305,229,-117
326,214,-122
346,212,-126
364,196,-128
371,202,-146
380,196,-136
388,198,-148
388,194,-136
369,201,-141
351,209,-137
322,212,-137
255,219,-153
212,206,-162
175,173,-181
137,149,-179
118,122,-176
94,86,-178
82,58,-176
83,13,-173
76,-16,-180
91,-63,-167
104,-100,-162
126,-128,-150
162,-174,-142
181,-183,-141
219,-195,-133
268,-226,-124
296,-224,-118
339,-219,-113
375,-195,-109
404,-180,-92
436,-156,-74
446,-142,-82
455,-137,-91
468,-116,-96
475,-97,-107
479,-89,-105
486,-86,-96
483,-67,-105
488,-76,-106
482,-72,-105
492,-76,-108
478,-88,-110
479,-111,-103
451,-141,-109
451,-141,-112
391,-201,-133
357,-215,-141
324,-222,-152
299,-225,-161
301,-231,-158
262,-232,-166
229,-223,-169
189,-215,-177
157,-201,-169
133,-173,-167
93,-141,-161
85,-111,-153
79,-99,-147
79,-87,-133
67,-75,-125
67,-71,-109
63,-71,-105
67,-63,-91
68,-62,-98
77,-69,-99
85,-79,-103
82,-78,-118
95,-77,-123
90,-84,-132
92,-84,-156
89,-89,-171
103,-79,-187
99,-89,-187
102,-78,-182
106,-70,-204
113,-79,-211
120,-86,-220
122,-78,-220
118,-88,-224
119,-99,-221
104,-98,-204
93,-97,-179
89,-101,-161
91,-95,-139
85,-93,-121
84,-92,-94
81,-89,-73
83,-93,-55
100,-100,-42
104,-85,-7
115,-89,255
120,-88,18
133,-77,37
150,-64,58
143,-66,62
138,-60,72
155,-51,83
164,-46,88
165,-41,95
167,-43,97
165,-45,95
160,-44,90
157,-53,83
144,-54,68
128,-51,47
114,-58,36
99,-65,-3
80,-76,-36
85,-79,-61
75,-86,-86
82,-86,-100
87,-87,-117
84,-86,-136
82,-86,-142
82,-83,-177
93,-75,-171
95,-81,-179
103,-75,-197
109,-77,-219
122,-70,-234
137,-77,-251
153,-77,-271
166,-80,-284
194,-86,-304
215,-91,-311
223,-93,-307
240,-82,-310
252,-98,-310
266,-88,-322
268,-85,-327
271,-81,-327
289,-81,-319
301,-83,-327
309,-75,-311
315,-87,-313
320,-84,-309
319,-85,-301
327,-87,-309
324,-90,-304
317,-87,-305
305,-77,-313
306,-86,-308
276,-72,-310
242,-72,-308
207,-72,-298
198,-68,-286
169,-69,-275
154,-56,-248
135,-55,-241
119,-61,-209
120,-64,-193
101,-55,-185
92,-54,-154
86,-54,-132
85,-47,-107
72,-56,-86
77,-41,-47
86,-48,-24
90,-48,-4
100,-50,30
117,-57,33
128,-54,54
135,-53,69
146,-54,76
